manufacturer,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,gwp_error_ratio,gwp_manufacturing_ratio,assembly_location,server_type,gwp_transport_ratio,gwp_eol_ratio
Dell,Workplace,Laptop,241,0.1260,17.4,4,EU,0.2199,0.8350,CN,,,
Dell,Workplace,Laptop,364.0,0.13,22.51,4.0,EU,0.2363,0.833,China,,0,0
Dell,Workplace,Laptop,357.0,0.081,13.92,4.0,EU,0.2213,0.883,China,,0,0
Dell,Workplace,Laptop,350.0,0.07200000000000001,12.44,4.0,EU,0.2629,0.897,China,,0,0
Dell,Workplace,Laptop,344.0,0.068,11.15,4.0,EU,0.2558,0.901,China,,0,0
Dell,Workplace,Laptop,482.0,0.057,13.1,4.0,EU,0.222,0.91,China,,0,0
Dell,Workplace,Laptop,482.0,0.057,13.1,4.0,EU,0.222,0.91,China,,0,0
Dell,Workplace,Laptop,361.0,0.097,16.68,4.0,EU,0.2438,0.872,China,,0,0
Dell,Workplace,Laptop,367.0,0.111,19.5,4.0,EU,0.248,0.858,China,,0,0
Dell,Workplace,Laptop,240,0.1810,19.83,4,EU,0.1958,0.7620,CN,,,
Dell,Workplace,Laptop,280,0.2300,30.69,4,EU,0.1893,0.7100,CN,,,
Dell,Workplace,Laptop,240,0.1740,19.83,4,EU,0.1958,0.7710,CN,,,
Dell,Workplace,Laptop,223,0.1370,16.43,4,EU,0.2108,0.8210,CN,,,
Dell,Workplace,Laptop,249,0.1980,26.1,4,EU,0.1888,0.7890,CN,,,
Dell,Workplace,Laptop,238,0.1530,16.565,4,EU,0.2185,0.7950,CN,,,
Dell,Workplace,Laptop,261,0.1900,17.91,4,EU,0.2031,0.7610,CN,,,
Dell,Workplace,Desktop,397,0.4100,77.5,4,EU,0.1788,0.5600,EU,,,
Dell,Workplace,Desktop,258,0.3570,42.27,4,EU,0.2171,0.5930,EU,,,
Dell,Workplace,Desktop,419,0.4600,90.2,4,EU,0.1742,0.4700,EU,,,
Dell,Workplace,Desktop,432,0.4500,90.74,4,EU,0.1829,0.4800,EU,,,
Dell,Workplace,Desktop,244,0.3200,35.6,4,EU,0.2254,0.6200,EU,,,
Dell,Workplace,Desktop,414,0.4300,82.76,4,EU,0.1932,0.5100,EU,,,
Dell,Workplace,Desktop,483,0.4900,111.72,4,EU,0.1781,0.4500,EU,,,
Dell,Workplace,Desktop,273,0.2770,36.18,4,EU,0.2051,0.6900,EU,,0.0310,
Dell,Workplace,Desktop,399,0.3930,74.74,4,EU,0.1654,0.5770,EU,,0.025,
Dell,Workplace,Desktop,579,0.4390,121.19,4,EU,0.1641,0.5300,EU,,0.0260,
Dell,Workplace,Desktop,260,0.2440,28.03,4,EU,0.2077,0.6690,EU,,0.0810,
Dell,Workplace,Desktop,425,0.3300,61.96,4,EU,0.2235,0.5320,EU,,0.1280,
Dell,Workplace,Desktop,388,0.2160,36.96,4,EU,0.2010,0.7320,EU,,0.0390,
Dell,Workplace,Desktop,210,0.2710,27.17,4,EU,0.2333,0.6900,EU,,0.0370,
Dell,Workplace,Desktop,259,0.3560,42.27,4,EU,0.2162,0.5950,EU,,,
Dell,Workplace,Desktop,411,0.4600,87.675,4,EU,0.1776,0.4700,EU,,,
Dell,Workplace,Desktop,489,0.5100,117.35,4,EU,0.1677,0.4300,EU,,,
Dell,Workplace,Desktop,436,0.4700,95.2,4,EU,0.1789,0.4700,EU,,,
Dell,Workplace,Desktop,483,0.5000,112.77,4,EU,0.1718,0.4400,EU,,,
Dell,Workplace,Desktop,262,0.3500,42.27,4,EU,0.2214,0.6000,EU,,,
Dell,Workplace,Desktop,425,0.4870,96.48,4,EU,0.1694,0.4600,EU,,,
Dell,Workplace,Desktop,501,0.5100,120.35,4,EU,0.1737,0.4300,EU,,,
Dell,Workplace,Desktop,448,0.4000,86.1,4,EU,0.2031,0.5700,EU,,,
Dell,Workplace,Desktop,461,0.3900,86.0512,4,EU,0.1562,0.5800,CN,,,
Dell,Workplace,Desktop,258,0.3560,42.27,4,EU,0.2171,0.5950,EU,,,
Dell,Workplace,Desktop,416,0.4600,90.2,4,EU,0.1755,0.4800,EU,,,
Dell,Workplace,Desktop,491,0.5100,117.35,4,EU,0.1690,0.4300,EU,,,
Dell,Workplace,Desktop,245,0.3170,35.6,4,EU,0.2245,0.6300,EU,,,
Dell,Workplace,Desktop,398,0.4470,82.76,4,EU,0.1809,0.4910,EU,,,
Dell,Workplace,Desktop,485,0.4900,117.72,4,EU,0.1732,0.4500,EU,,,
Dell,Workplace,Desktop,551,0.4300,113.5,4,EU,0.1488,0.5400,CN,,,
Dell,Workplace,Desktop,522,0.4200,103.6457,4,EU,0.1552,0.5600,EU,,,
Dell,Workplace,Desktop,720,0.3500,118.1044,4,EU,0.1389,0.6200,CN,,,
Dell,Workplace,Desktop,594,0.5420,151.07,4,EU,0.1667,0.3960,EU,,,
Dell,Workplace,Desktop,537,0.5380,151.07,4,EU,0.1713,0.4140,EU,,,
Dell,Workplace,Desktop,451,0.4600,96.9,4,EU,0.1929,0.4890,EU,,,
Dell,Workplace,Desktop,509,0.5080,121.18,4,EU,0.1827,0.4360,EU,,,
Dell,Workplace,Monitor,433,0.1920,26.4405,6,EU,0.1986,0.7140,CN,,,
Dell,Workplace,Monitor,441,0.1880,26.4405,6,EU,0.2018,0.7200,CN,,,
Dell,Workplace,Monitor,422,0.1970,26.4405,6,EU,0.1967,0.7130,CN,,,
Dell,Workplace,Monitor,428,0.2070,28.3,6,EU,0.1986,0.7030,CN,,,
Dell,Workplace,Monitor,479,0.2350,35.8155,6,EU,0.1879,0.6700,CN,,,
Dell,Workplace,Monitor,468,0.2280,33.9405,6,EU,0.1944,0.6870,CN,,,
Dell,Workplace,Monitor,487,0.2320,35.8115,6,EU,0.1869,0.6670,CN,,,
Dell,Workplace,Monitor,472,0.2260,33.9,6,EU,0.1970,0.6860,CN,,,
Dell,Workplace,Monitor,487,0.2190,33.9,6,EU,0.1910,0.6890,CN,,,
Dell,Workplace,Monitor,463.0,0.243,36.14,6.0,EU,0.2289,0.703,China,,0,0
Dell,Workplace,Monitor,481.0,0.237,36.14,6.0,EU,0.2183,0.691,China,,0,0
Dell,Workplace,Monitor,544.0,0.24,38.7,6.0,EU,0.2151,0.645,China,,0.10800000000000001,0.006999999999999999
Dell,Workplace,Monitor,493,0.2290,35.8155,6,EU,0.1866,0.6690,CN,,,
Dell,Workplace,Monitor,519,0.1940,32.1,6,EU,0.2081,0.6950,CN,,,
Dell,Workplace,Monitor,606,0.3000,57.8955,6,EU,0.1650,0.5960,CN,,,
Dell,Workplace,Monitor,468,0.2340,34.7,6,EU,0.1816,0.6660,CN,,,
Dell,Workplace,Monitor,510,0.2450,39.5655,6,EU,0.1824,0.6560,CN,,,
Dell,Workplace,Monitor,463,0.2440,35.8155,6,EU,0.1987,0.6980,CN,,,
Dell,Workplace,Monitor,504,0.2340,37.6905,6,EU,0.1845,0.6620,CN,,,
Dell,Workplace,Monitor,505,0.2350,37.7,6,EU,0.1842,0.6600,CN,,,
Dell,Workplace,Monitor,505,0.2230,35.8,6,EU,0.2040,0.6830,CN,,,
Dell,Workplace,Monitor,499,0.2260,35.8,6,EU,0.1824,0.6770,CN,,,
